Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
1017,18,7,39.07,16.64,18.31,11.88,3.48,14.22,4.9,chert,Chert,1,0,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,2.133806663,1.54,69.678,636.25495,Bidirectional,Africa
A5,878,4,25.02,13.32,18.77,23.75,5.95,10.4,5.63,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.332978157,0.79,58.552,466.68555,Bidirectional,Africa
A5,3170,4,34.32,21.53,26.77,20.02,5.3,16.78,5.72,chert,Chert,1,0,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.282032126,1.34,95.9816,815.8722,Bidirectional,Africa
A5,4492,7,33.13,20.27,19.22,11.48,4.94,7.96,2.93,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.723725286,1.67,23.3228,581.348675,Bidirectional,Africa
ALM-3,100,4,61.37,27.13,36.17,28.46,9.48,25.18,6.05,ferruginous quartzite,Quartzite,0,0,0,1,27.73277778,40.48472222,50,54,58,0,0,24,1.696709981,1.27,152.339,1962.766025,Bidirectional,Arabia
ALM-3,136,5,69.01,40.81,37.77,15.36,10.61,39.09,12.91,ferruginous quartzite,Quartzite,0,0,0,1,27.73277778,40.48472222,50,54,58,0,0,24,1.827111464,2.46,504.6519,2272.326775,Bidirectional,Arabia
ANW-3,2,6,32.49,25.67,26.97,17.34,4.97,21.84,4.75,chert,Chert,1,0,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.204671858,1.56,103.74,787.476375,Bidirectional,Africa
ANW-3,41,7,48.96,37.01,40.3,24.19,7.66,36.1,9.25,fine igneous,Igneous,0,1,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.214888337,1.67,333.925,1735.632,Bidirectional,Africa
ANW-3,41,5,29.69,22.9,25.33,20.25,3.83,20.39,6.62,chert,Chert,1,0,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.172127912,1.25,134.9818,696.304725,Bidirectional,Africa
BNS,11,13,36.11,18.31,28.44,14.97,8.71,17.04,8.7,chert,Chert,1,0,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.269690577,1.9,148.248,813.9194,Bidirectional,Africa
BNS,166,3,24.08,14.77,23.35,14.07,5.36,17.46,5.96,fine igneous,Igneous,0,1,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.031263383,1.66,104.0616,454.7508,Bidirectional,Africa
BNS,454,6,30.53,22.22,30.04,17.91,9.34,20.96,9.87,chert,Chert,1,0,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.016311585,1.68,206.8752,764.852825,Bidirectional,Africa
BNS,1172,7,42.8,33.33,39.83,33.03,10.59,31.92,8.5,chert,Chert,1,0,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.074566909,1.21,271.32,1562.414,Bidirectional,Africa
JSM-1,79,5,32.52,15.05,18.61,15.35,4.41,10.98,1.78,argilaceous quartzite,Quartzite,0,0,0,1,27.97692724,40.92311408,66,75,84,0,0.109589041,73,1.747447609,1.21,19.5444,549.7506,Bidirectional,Arabia
JSM-1,773,6,41.08,17.53,25.4,19.26,8.25,14.62,2.54,argilaceous quartzite,Quartzite,0,0,0,1,27.97692724,40.92311408,66,75,84,0,0.109589041,73,1.617322835,1.32,37.1348,899.5493,Bidirectional,Arabia
JSM-1,988,4,25.6,20.07,20.36,17.48,5.95,18.78,3.22,argilaceous quartzite,Quartzite,0,0,0,1,27.97692724,40.92311408,66,75,84,0,0.109589041,73,1.257367387,1.16,60.4716,500.928,Bidirectional,Arabia
Kebara X,55,5,65.31,28.54,26.84,17.97,5.05,21.5,3.67,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.433308495,1.49,78.905,1635.852225,Bidirectional,Levant
Kebara X,174,5,39.22,33.62,36.36,4.2,4.79,26.07,5.16,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.078657866,8.66,134.5212,1083.8447,Bidirectional,Levant
Kebara X,277,6,60.72,30.1,27.29,1.9,8.37,20.9,7.21,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.224990839,14.36,150.689,1314.2844,Bidirectional,Levant
Kebara X,287,3,37.38,17.74,18.75,6.71,2.62,17.08,4.48,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.9936,2.79,76.5184,578.92275,Bidirectional,Levant
Kebara X,370,6,51.12,32.91,25.59,10.3,5.76,26.12,3.48,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.997655334,2.48,90.8976,1206.3042,Bidirectional,Levant
Kebara X,452,5,39.91,27.8,30.89,4.1,6.71,24.78,3.69,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.292003885,7.53,91.4382,934.6922,Bidirectional,Levant
Kebara X,463,8,85.75,44.1,33.2,2.1,6.04,31.15,5.03,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.582831325,15.81,156.6845,2413.8625,Bidirectional,Levant
Kebara X,465,3,47.87,12.83,17.51,6.9,6.73,6.33,4.62,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.733866362,2.54,29.2446,655.220625,Bidirectional,Levant
Kebara X,468,4,50.98,15.45,15.29,2.6,6.12,12.23,4.06,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,3.334205363,5.88,49.6538,619.78935,Bidirectional,Levant
Kebara X,553,6,64.89,24.88,39.07,4.8,8.56,22.17,5.64,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.660865114,8.14,125.0388,1749.10995,Bidirectional,Levant
Ksar Akil 28A,1849,5,62.49,28.73,34.31,26.23,5.13,27.19,6.31,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.821334888,1.31,171.5689,1930.62855,Bidirectional,Levant
Ksar Akil 28A,1890,6,69.59,28.27,32.64,26.71,7.33,16.89,7.18,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.132046569,1.22,121.2702,2092.22335,Bidirectional,Levant
Ksar Akil 28A,2265,7,80.44,28.61,37.33,10.19,8.45,12.49,5.37,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.154835253,3.66,67.0713,2281.6806,Bidirectional,Levant
Ksar Akil 28A,2507,8,73.54,33.01,55.08,35.33,11.55,22.03,12.12,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.335148874,1.56,267.0036,3281.7225,Bidirectional,Levant
MDF-61,1260,6,50.22,26.99,36.49,29.29,5.71,24.65,11.6,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,1.376267471,1.25,285.94,1622.8593,Bidirectional,Arabia
MDF-61,1280,6,48.38,47.56,56.65,51.29,12.6,40.2,14.18,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,0.854015887,1.1,570.036,2565.95425,Bidirectional,Arabia
MDF-61,1503,5,62.09,34.33,45.56,29.73,8.82,27.19,9.45,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,1.362818262,1.53,256.9455,2408.78155,Bidirectional,Arabia
MDF-61,1554,6,32.49,31.61,41.89,42.43,5.14,27.99,6.5,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,0.775602769,0.99,181.935,1281.89295,Bidirectional,Arabia
Qafzeh XIX,47,3,35.06,22.86,23.21,10.39,4.72,3.45,1.67,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.510555795,2.23,5.7615,698.30755,Bidirectional,Levant
Qafzeh XIX,284,5,53.1,23.51,26.22,7.71,6.07,15.81,3.73,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,2.025171625,3.4,58.9713,1110.5865,Bidirectional,Levant
Qafzeh XIX,731,4,53.42,20.53,24.48,6.34,5.35,6.74,4.15,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,2.182189542,3.86,27.971,1012.70965,Bidirectional,Levant
Qafzeh XIX,747,3,31,17.18,23.97,16.33,3.78,13.49,3.89,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.293283271,1.47,52.4761,631.2375,Bidirectional,Levant
Tor Faraj,2,3,51.7,6.72,11.82,2.72,4.93,8.88,2.11,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,4.37394247,4.35,18.7368,427.559,Bidirectional,Levant
Tor Faraj,3,3,46.75,25.6,30.2,1.01,4.37,26.91,5.07,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.548013245,29.9,136.4337,1016.929375,Bidirectional,Levant
Tor Faraj,5,3,55.07,28.66,24.57,2.32,5.41,29.53,6.67,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.241351241,10.59,196.9651,1103.0521,Bidirectional,Levant
Tor Faraj,10,4,40.9,7.16,15.04,16.59,4.69,5.7,2.21,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.719414894,0.91,12.597,550.41175,Bidirectional,Levant
Tor Faraj,212,4,32.3,15.11,10.96,0.61,3.11,16.21,3.68,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.947080292,17.97,59.6528,303.943,Bidirectional,Levant
Tor Faraj,213,6,74.93,52.77,42.3,4.28,7.71,29.28,6.06,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.771394799,9.88,177.4368,2653.458625,Bidirectional,Levant
Tor Faraj,216,3,48.5,26.05,33.04,11.7,5.49,26.86,4.94,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.467917676,2.82,132.6884,1258.93875,Bidirectional,Levant
Tor Faraj,218,4,46.24,33.18,32.61,17.7,6.63,44.31,5.41,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.417969948,1.84,239.7171,1342.116,Bidirectional,Levant
Tor Faraj,219,3,64.93,42.83,40.33,1.15,8.09,42.97,10.44,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.609967766,35.07,448.6068,2023.2188,Bidirectional,Levant
1017,1,13,49.01,36.66,43.17,31.14,7.38,27.38,9.3,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.135279129,1.39,254.634,1888.60035,Centripetal,Africa
1017,2,15,50.28,43.47,43.44,30,12.16,42.19,12.4,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.157458564,1.45,523.156,2015.5995,Centripetal,Africa
1017,3,14,52.44,44.02,43.32,15.65,13.56,43.89,13.97,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.210526316,2.77,613.1433,1918.1241,Centripetal,Africa
1017,4,9,80.55,43.73,47.08,18.42,9.94,41.72,12.59,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.710917587,2.56,525.2548,3147.692625,Centripetal,Africa
1017,5,9,51.32,43.88,45.86,26.2,11.82,44.01,14.25,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.119058003,1.75,627.1425,2075.894,Centripetal,Africa
1017,6,12,85.53,57.03,75.43,47.66,14.63,37.57,11.68,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.133898979,1.58,438.8176,5464.297875,Centripetal,Africa
1017,7,10,55.48,46.76,41.23,32.77,15.07,46.96,18.2,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.34562212,1.26,854.672,2246.8013,Centripetal,Africa
1017,8,8,45.8,32.11,36.7,21.52,11.97,21.25,11.44,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.247956403,1.71,243.1,1454.4935,Centripetal,Africa
1017,9,8,48.47,34.92,39.9,26.54,8.96,32.85,11.59,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.214786967,1.5,380.7315,1711.71805,Centripetal,Africa
1017,10,8,50.09,48.17,61.52,48.02,10.17,40.54,11,red ccs,Other,0,0,1,0,21.4736,31.04935,65,68,70,0,0.51627907,215,0.814206762,1.28,445.94,2745.307675,Centripetal,Africa
1017,11,9,60.89,48.23,50.63,24.77,12.06,41.52,13.85,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.202646652,2.04,575.052,2652.67285,Centripetal,Africa
1017,12,9,57.94,52.22,47.03,15.88,11.81,50.3,13.21,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.231979587,2.96,664.463,2348.8876,Centripetal,Africa
1017,13,7,36.14,25.09,31.22,20.76,6.93,24.59,8.96,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.157591288,1.5,220.3264,978.40015,Centripetal,Africa
1017,14,7,61.77,41.34,51.29,32.36,9.3,35.02,14.59,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.204328329,1.58,510.9418,2722.2039,Centripetal,Africa
1017,16,16,55.49,51.28,59.21,29.83,10.78,43.3,12.12,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,0.937172775,1.98,524.796,2767.979925,Centripetal,Africa
1017,17,6,67.39,16.03,36.66,17.87,5.63,16.04,5.07,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.838243317,2.05,81.3228,1806.38895,Centripetal,Africa
1017,19,8,44.99,31.37,35.65,18.74,5.43,31.81,6.78,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.261991585,1.9,215.6718,1365.558975,Centripetal,Africa
1017,20,15,78.15,59.01,62.97,31.32,14.15,59.38,12.71,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.241067175,2.01,754.7198,4225.375125,Centripetal,Africa
1017,21,5,56.16,22.72,37.79,7.96,5.23,22.17,8.45,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.486107436,4.75,187.3365,1491.8904,Centripetal,Africa
1017,22,4,42.65,26.18,40.47,19.29,6.07,22.46,7.65,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.053867062,2.1,171.819,1347.846625,Centripetal,Africa
1017,23,6,45.55,25.96,36.4,20.68,9.79,24.44,10.72,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.251373626,1.76,261.9968,1360.123,Centripetal,Africa
1017,24,15,43.86,30.49,36.46,20.35,6.25,29.19,8.65,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.20296215,1.79,252.4935,1357.0284,Centripetal,Africa
1017,25,5,38.63,38.93,33.64,28.76,8.61,36.04,12.25,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.148335315,1.17,441.49,1303.472775,Centripetal,Africa
1017,26,5,37.64,29.8,36.23,22.74,10.96,24.27,10.29,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.038918024,1.59,249.7383,1176.25,Centripetal,Africa
1017,27,7,33.16,28.74,36.86,31.87,6.16,27.05,7.38,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,0.899620184,1.16,199.629,1113.5957,Centripetal,Africa
1017,28,9,35.5,20.43,19.11,17.58,3.35,19.8,4.97,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.857666143,1.09,98.406,676.54125,Centripetal,Africa
1017,29,8,41.66,40.91,52.61,34.2,14.06,44.79,15.7,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,0.791864665,1.54,703.203,1878.13695,Centripetal,Africa
1017,30,7,36.29,25.13,35.3,23.13,4.9,20.53,5.65,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.028045326,1.53,115.9945,1078.35735,Centripetal,Africa
1017,31,9,39.42,19.17,25.38,4.91,5.2,18.67,4.53,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.553191489,5.17,84.5751,737.5482,Centripetal,Africa
1017,32,7,35.53,17.4,34.7,25.23,6.36,14.17,1.74,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.023919308,1.38,24.6558,995.106475,Centripetal,Africa
1017,33,12,53.74,33.66,42.42,20.89,9.42,30.54,11.38,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.266855257,2.03,347.5452,1872.70465,Centripetal,Africa
1017,34,6,33.39,12.22,23.41,3.5,4.2,9.22,2.93,red ccs,Other,0,0,1,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.426313541,6.69,27.0146,522.05265,Centripetal,Africa
1017,35,4,27.22,23.92,26.2,20.68,3.22,17.47,2.75,red ccs,Other,0,0,1,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.038931298,1.27,48.0425,660.085,Centripetal,Africa
1017,36,8,34.4,35.59,29.15,29.05,7.41,33.29,7.62,red ccs,Other,0,0,1,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.180102916,1,253.6698,1057.284,Centripetal,Africa
1017,37,11,65.24,53.25,56.78,37.08,15.51,48.04,12.73,fine igneous,Igneous,0,1,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,1.148996125,1.53,611.5492,3325.4459,Centripetal,Africa
1017,38,11,48.48,40.15,60.66,26.76,6.52,38.41,5.37,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,0.799208704,2.27,206.2617,2281.3476,Centripetal,Africa
1017,39,9,33.01,30.11,41.05,30.11,7.31,27.21,6.89,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,0.804141291,1.36,187.4769,1174.4958,Centripetal,Africa
1017,40,8,25.03,23.09,27.96,7.21,3.83,16.35,3.18,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,0.895207439,3.88,51.993,539.52165,Centripetal,Africa
1017,41,5,31.12,21.93,20.89,17.47,4.56,21.69,4.33,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.489707994,1.2,93.9177,631.5804,Centripetal,Africa
1017,42,7,68.57,20.4,22.55,22.39,4.73,15.58,9.24,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,3.040798226,1.01,143.9592,1506.654325,Centripetal,Africa
1017,43,5,52.66,45.8,50.84,30.62,13.55,47.06,15.38,quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,1.035798584,1.66,723.7828,2344.6865,Centripetal,Africa
1017,44,6,73.02,25.59,21.86,24.44,4.89,26.07,7.02,ferruginous quartzite,Quartzite,0,0,0,1,21.4736,31.04935,65,68,70,0,0.51627907,215,3.340347667,0.89,183.0114,1711.40625,Centripetal,Africa
A5,117,9,27.83,16.31,13.67,5.07,2.89,15.08,4.29,obsidian,Other,0,0,1,0,10.41667,40.51667,70,75,80,0,0.4,40,2.035844916,2.7,64.6932,338.9694,Centripetal,Africa
A5,147,8,38.22,26.76,23.09,11.82,6.86,21.75,7.84,fine igneous,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.655262018,1.95,170.52,809.8818,Centripetal,Africa
A5,837,7,52.02,35.35,33.6,6.2,9.72,35.36,9.44,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.548214286,5.42,333.7984,1414.29375,Centripetal,Africa
A5,853,4,26.98,16.5,27.92,19.84,6.26,18.4,4.93,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.966332378,1.41,90.712,621.7541,Centripetal,Africa
A5,901,7,23.97,11.9,19.93,17.15,3.83,9.42,3.78,fine igneous,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.202709483,1.16,35.6076,412.943175,Centripetal,Africa
A5,1003,8,29.58,37.14,44.1,20.73,10.32,39.72,11.12,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.670748299,2.13,441.6864,1080.18765,Centripetal,Africa
A5,1023,6,20.19,13.14,15.6,12.51,4.48,9.83,4.72,fine igneous,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.294230769,1.25,46.3976,286.950375,Centripetal,Africa
A5,1235,5,23.98,24.48,20.56,16.74,5.64,25.08,6.98,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.166342412,1.23,175.0584,493.6283,Centripetal,Africa
A5,1313,7,28.17,19.83,22.33,12.57,6.64,20.11,8.43,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.261531572,1.78,169.5273,542.69505,Centripetal,Africa
A5,1335,5,37.3,31.69,40.14,38.96,13.03,19.2,8.99,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.929247633,1.03,172.608,1407.42225,Centripetal,Africa
A5,1431,6,20.28,22.32,25.51,20.79,5.38,15.08,4.98,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.79498236,1.23,75.0984,477.2391,Centripetal,Africa
A5,1435,10,26.59,16.75,25.03,19,5.06,12.61,4.25,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.06232521,1.32,53.5925,570.421975,Centripetal,Africa
A5,1460,8,32.52,25.78,33.2,28.21,6.16,23.79,5.09,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.979518072,1.18,121.0911,978.7707,Centripetal,Africa
A5,1677,6,33.78,33.07,35.16,28.69,10.98,32.84,8.53,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.960750853,1.23,280.1252,1115.4156,Centripetal,Africa
A5,3027,9,28.49,25.45,25.55,9.69,7.53,25.18,8.54,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.115068493,2.64,215.0372,614.2444,Centripetal,Africa
A5,3834,11,24.81,26.91,27.54,16.81,8.77,26.9,7.91,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.90087146,1.64,212.779,612.807,Centripetal,Africa
A5,4071,6,29,18.82,26.72,21.25,5.94,18.22,6.44,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.085329341,1.26,117.3368,677.9475,Centripetal,Africa
A5,4197,8,33,15.89,25.39,13.37,6.02,15.13,5.21,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.299724301,1.9,78.8273,660.33,Centripetal,Africa
A5,4243,13,60.64,54.47,65.19,44.17,16.26,50.82,18.69,fine igneous,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.930204019,1.48,949.8258,3471.9432,Centripetal,Africa
A5,4250,5,28.5,25.09,37.02,22.7,7.74,15.22,4.4,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.769854133,1.63,66.968,868.03875,Centripetal,Africa
A5,4251,6,37.47,26.53,25.72,16.26,6.11,21.96,3.5,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.456842924,1.58,76.86,882.699525,Centripetal,Africa
A5,4272,6,52.28,32.06,40.91,23.51,11.14,30.98,10.44,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.277927157,1.74,323.4312,1795.6873,Centripetal,Africa
A5,4304,11,49.72,20.2,35.19,4.72,6.45,21.45,7.9,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.412901392,7.46,169.455,1184.579,Centripetal,Africa
A5,4312,7,58.36,37.97,49.53,31.88,15.81,31.95,13.83,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.178275792,1.55,441.8685,2464.3969,Centripetal,Africa
A5,4339,6,32.36,38.63,34.02,25.41,12.38,38.4,11.94,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.951205173,1.34,458.496,1068.5272,Centripetal,Africa
A5,4345,5,25.13,21.6,24.47,17.1,3.77,12.69,4.01,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.026971802,1.43,50.8869,550.5983,Centripetal,Africa
A5,4352,7,33.87,24.22,32.2,15.81,7.61,22.51,5.27,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.051863354,2.04,118.6277,884.261025,Centripetal,Africa
A5,4373,10,42.25,35.33,46.86,33.92,10.86,34.54,10.06,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.901621852,1.38,347.4724,1721.370625,Centripetal,Africa
A5,4436,6,25.96,18.2,23.03,13.87,4.17,8.16,2.83,fine igneous,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.127225358,1.66,23.0928,507.0637,Centripetal,Africa
A5,4488,7,27.39,15.01,15.3,1.77,3.17,9.59,3.49,chert,Chert,1,0,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.790196078,8.64,33.4691,324.43455,Centripetal,Africa
A5,4493,8,19.95,15.33,15.48,2.12,5.49,13.61,5.35,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.28875969,7.3,72.8135,241.444875,Centripetal,Africa
A5,4587,7,30.75,32.15,32.33,17.47,6.19,33.02,6.06,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,0.951128982,1.85,200.1012,878.5275,Centripetal,Africa
A5,6002,5,38.81,22.58,25.42,16.86,4.9,22.82,3.59,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.52675059,1.51,81.9238,875.9417,Centripetal,Africa
ANW-3,1,8,53.33,26.75,26.62,18.38,6.63,29.97,8.93,quartz,Other,0,0,1,0,21.56213,31.05615,60,63,65,0,0.35915493,710,2.003380917,1.45,267.6321,1311.518025,Centripetal,Africa
ANW-3,1,7,48.22,24.56,34.56,24.13,9.26,20.48,6.98,quartz,Other,0,0,1,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.39525463,1.43,142.9504,1420.19955,Centripetal,Africa
ANW-3,2,8,45.69,25.77,27.48,6.32,6.17,25.69,7.54,chert,Chert,1,0,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.662663755,4.35,193.7026,994.328625,Centripetal,Africa
