Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
Ksar Akil 28A,1528,4,46.4,53.6,42.18,3.64,8.41,53.78,10.38,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.100047416,11.59,558.2364,1642.56,Unidirectional Convergent,Levant
Ksar Akil 28A,1531,4,50.26,29.21,26.58,5.26,5.99,29.13,9.6,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.89089541,5.05,279.648,1101.07095,Unidirectional Convergent,Levant
Ksar Akil 28A,1544,3,57.27,29.95,38.73,1.97,12.15,29.32,13.93,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.478698683,19.66,408.4276,1566.04815,Unidirectional Convergent,Levant
Ksar Akil 28A,1551,6,71.56,52.84,48.21,7.11,11.7,51.43,11.21,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.484339349,6.78,576.5303,2797.4593,Unidirectional Convergent,Levant
Ksar Akil 28A,1555,4,93.07,40.05,37.41,10.73,9.04,39.62,9.27,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.487837477,3.49,367.2774,2922.398,Unidirectional Convergent,Levant
Ksar Akil 28A,1563,4,57.51,34.7,28.76,4.49,4.8,27.44,7.28,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.999652295,6.41,199.7632,1390.448025,Unidirectional Convergent,Levant
Ksar Akil 28A,1577,6,73.69,34.54,42.03,2.24,6.36,33.49,7.04,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.753271473,18.76,235.7696,2226.1749,Unidirectional Convergent,Levant
Ksar Akil 28A,1578,3,60.8,46.16,38.99,1.88,10.06,46.03,8.06,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.559374199,20.74,371.0018,1915.504,Unidirectional Convergent,Levant
Ksar Akil 28A,1579,4,38.57,31.41,23.18,2.88,2.48,31.02,1.79,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.663934426,8.05,55.5258,777.667625,Unidirectional Convergent,Levant
Ksar Akil 28A,1667,3,47.15,18.92,13.13,3.58,4.7,17.84,3.24,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,3.591012947,3.67,57.8016,574.7585,Unidirectional Convergent,Levant
Ksar Akil 28A,1938,6,76.36,40.24,36.55,41.46,10.77,40.79,10.87,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.089192886,0.88,443.3873,2955.132,Unidirectional Convergent,Levant
Ksar Akil 28A,1990,3,48.89,25.79,29.57,2.29,6.12,23.87,6.06,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.653364897,12.91,144.6522,1066.04645,Unidirectional Convergent,Levant
Ksar Akil 28A,2005,3,51.2,24.35,25.27,7.05,5.86,22.69,8.87,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.026117926,3.58,201.2603,1048.832,Unidirectional Convergent,Levant
Ksar Akil 28A,2020,6,65.02,53.43,35.32,12.73,8.09,53.42,7.26,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.840883352,2.77,387.8292,2223.684,Unidirectional Convergent,Levant
Ksar Akil 28A,2026,5,75.19,32.27,28.44,1.82,6.88,32.16,8.09,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.643811533,15.63,260.1744,1710.008575,Unidirectional Convergent,Levant
Ksar Akil 28A,2040,4,35.3,17.1,15.05,2,4.5,16.64,5.2,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.34551495,7.53,86.528,434.19,Unidirectional Convergent,Levant
Ksar Akil 28A,2058,5,53.35,34.81,29.28,4.44,4.09,34.19,,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.822062842,6.59,0,1304.540875,Unidirectional Convergent,Levant
Ksar Akil 28A,2061,4,65.31,46.78,45.24,47.66,14.86,43.91,13.33,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.443633952,0.95,585.3203,3019.2813,Unidirectional Convergent,Levant
Ksar Akil 28A,2063,4,79.59,40.67,36.13,7.25,12.24,38.61,9.89,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.202878494,4.98,381.8529,2391.28155,Unidirectional Convergent,Levant
Ksar Akil 28A,2064,5,54.74,39.37,35.57,5.08,8.31,39.3,8.36,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.538937307,7,328.548,1581.84915,Unidirectional Convergent,Levant
Ksar Akil 28A,2065,7,61.93,33.63,27.09,19.44,5.55,32.11,8.06,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.286083426,1.39,258.8066,1660.498125,Unidirectional Convergent,Levant
Ksar Akil 28A,2068,6,68.73,33.86,41.22,3.66,10.58,20.76,11.75,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.667394469,11.26,243.93,2061.2127,Unidirectional Convergent,Levant
Ksar Akil 28A,2071,5,62.95,23.2,28.59,26.73,4.97,21.2,7.72,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.201818818,1.07,163.664,1685.643625,Unidirectional Convergent,Levant
Ksar Akil 28A,2082,5,44.99,30,32.78,5.07,8.88,31.77,9.82,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.372483221,6.47,311.9814,1131.835925,Unidirectional Convergent,Levant
Ksar Akil 28A,2084,3,36.94,31.13,24.51,2.68,7.21,31.59,9.29,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.507139943,9.15,293.4711,764.93505,Unidirectional Convergent,Levant
